,0,1,2,3,4,5,6
0,,DANBRAD LTD,,Valued Inventory Stat Report,,Date  : 05/10/2022,
1,,rep_consumo_ant_valor_idl_en,,(Other Months),,Hour  : 12:34:35,
2,,Ver: 201906051200,,Month in Process: 4 - 2022,,Page  :  1,
3,,,Initial,Trans. Account,Actual Usage,Raw Theorical,Amount in $
4,Wrin Number,Description UOM,Inv,Purchases +/- Adjust Adjust Final Inv,(Inventory),Usage (P.Mix)Cond Waste,Stat +/-
5,Company 2,Description DANBRAD LTD,,,,,
6,Store,01 Description MARLBORUGH,,,,,
7,Class,001 Description FOOD,,,,,
8,Category,001 Description FOOD,,,,,
9,723,APPLE JUICE UNIT-EACH,213.82,516.48  0  0.00  0.00  179.44,550.86,0.00  0.00  515.35,35.51
10,8549,Apple UNIT-EACH,6.57,115.59  0  0.00  0.00  47.27,74.89,0.00  0.00  0.00,74.89
11,507,BACON-ROASTED UNIT-EACH,639.12,"1,522.75  0  0.00  0.00  349.42","1,812.45","0.00  0.00  1,260.38",552.07
12,55,BIG MAC SAUCE POUCH,75.24,654.08  0  0.00  0.00  0.00,729.32,0.00  0.00  535.66,193.66
13,2813,BISC-FROZEN UNIT-EACH,481.78,"1,314.44  0  0.00  0.00  630.81","1,165.41","0.00  0.00  1,199.84",-34.43
14,1721,BOTTLE WATER 20 OZ UNIT-EACH,479.99,"1,299.79 -40  0.00  0.00  339.96","1,399.83","0.00  0.00  1,602.88",-203.05
15,5370,BULK CREAM BAGS,64.08,112.86  0  0.00  0.00  106.16,70.78,0.00  0.00  0.00,70.78
16,3,BUN BIG MAC UNIT-EACH,54.65,"2,185.93  146  0.00  0.00  327.89","2,058.42","0.00  0.00  1,465.70",592.72
17,2,BUN QUARTER POUNDER UNIT-EACH,99.41,"1,211.90  0  0.00  0.00  265.10","1,046.21",0.00  0.00  931.43,114.78
18,1,BUN REGULAR UNIT-EACH,236.52,"1,927.20  0  0.00  0.00  175.20","1,988.52","0.00  0.00  1,382.69",605.83
19,11671,BUTTER MILK CHICKEN UNIT-EACH,0.00,0.00  0  0.00  0.00,0.00,0.00  0.00  3.18,-3.18
20,35,BUTTER PATS PACKET,34.38,213.30  0  0.00  0.00  70.77,176.91,0.00  0.00  0.00,176.91
21,15,CANADIAN BACON UNIT-EACH,107.20,341.28  0  0.00  0.00  263.07,185.41,0.00  0.00  308.26,-122.85
22,13,CHEESE SLICES SLICE,"1,033.82","3,345.41  0  0.00  0.00  1,173.22","3,206.01","0.00  0.00  3,084.88",121.13
23,2697,CHERRY UNIT-EACH,0.00,0.00  0  0.00  0.00,0.00,0.00  0.00  16.99,-16.99
24,407,CHICKEN NUGGETS UNIT-EACH,"3,122.84","6,115.56  0  0.00  0.00  3,318.02","5,920.38","0.00  0.00  6,953.21","-1,032.83"
25,477,CO2 UNIT-EACH,10.20,5.10  0  0.00  0.00  10.20,5.10,0.00  0.00  0.00,5.10
26,3222,COFFEE BAGS,802.54,599.32  0  0.00  0.00  812.61,589.25,0.00  0.00  414.39,174.86
27,19,COKE GALLONS,267.50,802.50  0  0.00  0.00  160.50,909.50,"0.00  0.00  1,265.27",-355.77
28,132,CONCENTRATED ORANGE JUICE POUCH,"1,078.56","3,680.88 -438  0.00  0.00  998.12","3,323.12","0.00  0.00  5,514.31","-2,191.19"
29,23,CONE CAKE (ICE CREAM) UNIT-EACH,92.82,91.16  0  0.00  0.00  66.50,117.48,0.00  0.00  92.76,24.72
30,2380,CRAN AND RASIN (OATMEAL) UNIT-EACH,105.77,172.16  0  0.00  0.00  108.26,169.67,0.00  0.00  155.98,13.69
31,6043009,Crinkle-cut pickle BAGS,19.87,0.00  0  0.00  0.00  0.02,19.85,0.00  0.00  0.29,19.56
32,11671049,Crispy chicken fillet UNIT-EACH,774.69,"2,161.92  0  0.00  0.00  0.00","2,936.61","0.00  0.00  2,714.86",221.75
33,3268,DECAF PKTS PACKET,59.91,0.00  0  0.00  0.00  11.16,48.75,0.00  0.00  11.22,37.53
34,42,DIET COKE GALLONS,26.75,80.25  0  0.00  0.00  26.75,80.25,0.00  0.00  98.09,-17.84
35,49,EQUAL PACKET UNIT-EACH,11.85,48.00  0  0.00  0.00  23.94,35.91,0.00  0.00  0.00,35.91
36,21,FANTA ORANGE GALLONS,212.10,424.20  0  0.00  0.00  212.10,424.20,0.00  0.00  462.36,-38.16
37,8,FISH FILET UNIT-EACH,279.59,"3,879.12 -105  0.00  0.00  576.63","3,477.24","0.00  0.00  3,138.25",338.99
38,4,FRENCH FRIES POUNDS,"1,388.93","0.00  6,969  0.00  0.00  389.88","7,968.07","0.00  0.00  7,246.79",721.28
39,8498,FZ FOLDED EGG UNIT-EACH,288.58,"1,828.60  0  0.00  0.00  588.58","1,528.60","0.00  0.00  1,375.68",152.92
40,20,GOOMBAY PUNCH GALLONS,272.57,606.00 -61  0.00  0.00  151.48,666.49,0.00  0.00  656.85,9.64
41,2760,HALF HALF MILK - PKT PACKET,340.06,"1,927.53  0  0.00  0.00  816.75","1,450.84",0.00  0.00  0.00,"1,450.84"
42,70,HASH BROWN UNIT-EACH,"1,810.49","4,025.46  0  0.00  0.00  1,499.80","4,336.15","0.00  0.00  1,567.37","2,768.78"
43,33,HOTCAKE SYRUP PACKET,922.86,225.21  0  0.00  0.00  301.42,846.65,0.00  0.00  0.00,846.65
44,5358,HOTCAKES FROZEN UNIT-EACH,722.29,"1,919.45  0  0.00  0.00  793.86","1,847.88","0.00  0.00  1,756.37",91.51
45,51,ICED TEA BAGS 1OZ BAGS,43.07,30.88  0  0.00  0.00  15.43,58.52,0.00  0.00  58.88,-0.36
